epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1462.01,0.46637,0.89916,0.43103,0.91224,0.81516,0.50616,0.67054,0.57213,0.77533,0.48409,0.64612,0.50013,0.79523,1.96238,1.02863,1.07024,0.000327961,0.000327961,0.000327961
31,1509.77,0.45118,0.88531,0.41699,0.90313,0.77091,0.50782,0.60833,0.52022,0.69519,0.46537,0.55712,0.45466,0.85579,1.91396,1.0191,1.05976,0.000320097,0.000320097,0.000320097
32,1556.87,0.45054,0.86629,0.41296,0.91021,0.70145,0.55148,0.65398,0.55548,0.76347,0.51559,0.59398,0.49182,0.8427,2.11244,0.88423,1.0443,0.000312234,0.000312234,0.000312234
33,1604.65,0.44318,0.85888,0.40593,0.90279,0.82226,0.54898,0.72976,0.61818,0.78779,0.51548,0.67527,0.55757,0.83658,2.02064,0.95206,1.06097,0.00030437,0.00030437,0.00030437
34,1651.41,0.43637,0.83193,0.39304,0.89811,0.82789,0.57107,0.74048,0.62574,0.81456,0.55744,0.69015,0.54851,0.89197,2.0756,0.88496,1.08753,0.000296507,0.000296507,0.000296507
35,1699.17,0.43514,0.82251,0.39384,0.89846,0.69513,0.57441,0.70748,0.60859,0.68936,0.54823,0.68091,0.54336,0.88136,2.46941,0.91216,1.08311,0.000288643,0.000288643,0.000288643
36,1746.64,0.43039,0.81335,0.38518,0.89578,0.81509,0.55152,0.72141,0.62781,0.81502,0.54726,0.70378,0.56923,0.81619,2.35184,0.84673,1.02259,0.00028078,0.00028078,0.00028078
37,1793.5,0.42419,0.80602,0.36937,0.89634,0.77207,0.55826,0.72459,0.622,0.71839,0.53705,0.67709,0.55695,0.80635,2.90785,0.8681,1.03422,0.000272917,0.000272917,0.000272917
38,1840.76,0.41471,0.76856,0.36707,0.89268,0.7388,0.56412,0.7208,0.62999,0.7184,0.54009,0.70222,0.5728,0.73978,2.18839,0.80279,0.96237,0.000265053,0.000265053,0.000265053
39,1888.74,0.41611,0.77442,0.36111,0.88738,0.85206,0.50357,0.67872,0.58432,0.81967,0.48807,0.65294,0.54101,0.81405,2.09112,0.85313,0.9951,0.00025719,0.00025719,0.00025719
40,1936.18,0.41022,0.75055,0.3556,0.88901,0.83141,0.52698,0.6568,0.55267,0.79414,0.50359,0.61852,0.50112,0.85625,2.02763,0.98232,1.08131,0.000249326,0.000249326,0.000249326
41,1983.88,0.41272,0.79295,0.35459,0.88654,0.64885,0.63058,0.66745,0.54301,0.67896,0.57954,0.6125,0.49746,0.78376,1.88776,0.84706,1.00556,0.000241463,0.000241463,0.000241463
42,2031.69,0.40769,0.76219,0.35105,0.8945,0.68861,0.59455,0.68194,0.58356,0.65075,0.565,0.64827,0.52778,0.79102,2.18051,0.77308,1.06291,0.000233599,0.000233599,0.000233599
43,2078.92,0.40678,0.74798,0.3517,0.88437,0.7932,0.62775,0.73151,0.61461,0.70146,0.58056,0.67123,0.56441,0.75639,1.88165,0.78053,0.99234,0.000225736,0.000225736,0.000225736
44,2126.37,0.40194,0.75677,0.34883,0.88331,0.66886,0.62329,0.67824,0.56387,0.76442,0.54375,0.63656,0.51129,0.75876,1.80606,0.76321,1.00069,0.000217873,0.000217873,0.000217873
45,2174.09,0.39732,0.74168,0.33749,0.88158,0.67962,0.56189,0.70268,0.59996,0.67619,0.49291,0.65753,0.54084,0.76645,2.0284,0.84473,1.03259,0.000210009,0.000210009,0.000210009
46,2221.16,0.40245,0.73998,0.33493,0.88301,0.73771,0.6131,0.75099,0.63673,0.73031,0.58749,0.70236,0.57537,0.7271,1.9515,0.76946,0.99076,0.000202146,0.000202146,0.000202146
47,2270.56,0.39229,0.71679,0.32924,0.87689,0.76435,0.60864,0.7273,0.60678,0.71234,0.55758,0.6751,0.54919,0.75452,2.43897,0.74319,1.02634,0.000194282,0.000194282,0.000194282
48,2320.45,0.38573,0.69764,0.3199,0.87694,0.70857,0.5971,0.68097,0.58507,0.68718,0.57094,0.64429,0.52755,0.74076,2.34832,0.78016,0.99472,0.000186419,0.000186419,0.000186419
49,2369.53,0.38512,0.71038,0.31749,0.87563,0.7752,0.59473,0.7362,0.63998,0.8255,0.55347,0.70232,0.58775,0.73918,2.32457,0.77161,0.97955,0.000178555,0.000178555,0.000178555
50,2416.09,0.38074,0.71872,0.32618,0.87441,0.73604,0.5566,0.66531,0.58055,0.72158,0.54651,0.64297,0.52536,0.7436,1.91947,0.8199,0.96711,0.000170692,0.000170692,0.000170692
51,2463.71,0.37006,0.68519,0.31087,0.87364,0.68511,0.60188,0.73837,0.64142,0.77602,0.5603,0.71379,0.59368,0.79238,2.04261,0.83339,1.05305,0.000162829,0.000162829,0.000162829
52,2510.66,0.37494,0.69247,0.31729,0.87904,0.56089,0.68518,0.70914,0.62692,0.54174,0.66578,0.67093,0.57128,0.77687,2.20709,0.81029,1.00919,0.000154965,0.000154965,0.000154965
53,2557.8,0.36651,0.66616,0.29784,0.86871,0.5424,0.74133,0.71244,0.63545,0.51323,0.70046,0.66881,0.57406,0.76804,2.18794,0.82928,1.0072,0.000147102,0.000147102,0.000147102
54,2605.14,0.37126,0.67127,0.30201,0.87183,0.86193,0.57971,0.73805,0.64831,0.79742,0.55109,0.69908,0.58343,0.73216,2.02669,0.74342,0.98482,0.000139238,0.000139238,0.000139238
55,2651.25,0.35454,0.6746,0.29344,0.87096,0.66947,0.70025,0.72174,0.64585,0.65204,0.69276,0.69146,0.58678,0.7104,2.08906,0.75963,0.9998,0.000131375,0.000131375,0.000131375
56,2698.61,0.35726,0.64621,0.29155,0.86769,0.61993,0.74587,0.72889,0.64668,0.60304,0.72474,0.70769,0.58878,0.73913,2.37239,0.73857,1.01753,0.000123511,0.000123511,0.000123511
57,2746.28,0.36433,0.65918,0.29149,0.872,0.63382,0.70584,0.71641,0.63698,0.64544,0.69278,0.67938,0.57933,0.7217,2.17124,0.78064,0.99881,0.000115648,0.000115648,0.000115648
58,2793.08,0.35527,0.65086,0.28815,0.86948,0.86015,0.54585,0.73544,0.64552,0.78739,0.52193,0.69457,0.59134,0.72663,1.97584,0.76422,0.98724,0.000107785,0.000107785,0.000107785
59,2840.4,0.343,0.62179,0.27788,0.86341,0.626,0.71525,0.72773,0.6416,0.62123,0.69973,0.69587,0.58859,0.72684,2.04045,0.7349,1.01305,9.99211e-05,9.99211e-05,9.99211e-05
60,2887.23,0.34658,0.62067,0.27681,0.86584,0.57598,0.72918,0.72618,0.63911,0.55781,0.70721,0.67996,0.57851,0.72531,2.20715,0.75234,0.98603,9.20577e-05,9.20577e-05,9.20577e-05
61,2934.43,0.53857,1.04311,0.45728,0.91214,0.57833,0.7395,0.72576,0.64098,0.57704,0.69843,0.68243,0.57857,0.71894,2.19335,0.75872,0.99488,8.41943e-05,8.41943e-05,8.41943e-05
62,2979.43,0.51847,0.97302,0.40611,0.89753,0.65179,0.73775,0.73835,0.64163,0.63093,0.71812,0.69359,0.57628,0.72952,2.49556,0.72648,0.99137,7.63309e-05,7.63309e-05,7.63309e-05
63,3023.48,0.51398,0.95539,0.39154,0.89341,0.67325,0.71591,0.74157,0.65657,0.62815,0.69266,0.70519,0.59197,0.72928,2.41934,0.72241,0.98186,6.84674e-05,6.84674e-05,6.84674e-05
64,3068.17,0.50377,0.94665,0.3798,0.89531,0.8351,0.68854,0.74274,0.64819,0.65877,0.71724,0.70913,0.59558,0.71609,2.26413,0.67984,0.96708,6.0604e-05,6.0604e-05,6.0604e-05
65,3112.16,0.49662,0.90978,0.362,0.88746,0.68261,0.73115,0.74786,0.66164,0.67344,0.69867,0.7102,0.59774,0.72135,2.27243,0.66862,0.96593,5.27406e-05,5.27406e-05,5.27406e-05
66,3156.23,0.50093,0.91641,0.36121,0.88608,0.71819,0.72849,0.74501,0.66502,0.69925,0.70281,0.71259,0.59823,0.69772,2.18627,0.65521,0.95439,4.48771e-05,4.48771e-05,4.48771e-05
67,3200.91,0.48014,0.8894,0.34844,0.87762,0.82515,0.67657,0.74252,0.67061,0.77948,0.66258,0.71202,0.60495,0.69757,2.22061,0.65678,0.95699,3.70137e-05,3.70137e-05,3.70137e-05
68,3244.93,0.46742,0.86363,0.33246,0.8731,0.71538,0.72657,0.74865,0.66432,0.72051,0.68663,0.71855,0.59751,0.70396,2.32513,0.68531,0.96672,2.91503e-05,2.91503e-05,2.91503e-05
69,3289.84,0.47137,0.88025,0.33775,0.87062,0.68121,0.72845,0.74445,0.65802,0.71063,0.66702,0.70162,0.6013,0.69675,2.28396,0.67504,0.96027,2.12869e-05,2.12869e-05,2.12869e-05
70,3333.73,0.46491,0.86549,0.3288,0.87108,0.71525,0.73309,0.75185,0.65976,0.68529,0.69622,0.70976,0.5981,0.70122,2.26104,0.68781,0.96174,1.34234e-05,1.34234e-05,1.34234e-05
